SchCode,School,City,County,Enrollment,Conditional_Num,Cond_Per,PBE_Num,PBE_Per,FRPM_Per
0109835,FAME PUBLIC CHARTER,NEWARK,ALAMEDA,109,0,0,14,0.128440367,0.502252281
0123968,COMMUNITY SCHOOL FOR CREATIVE EDUCATION,OAKLAND,ALAMEDA,0,0,0,0,0,0.726744175
0124172,YU MING CHARTER,OAKLAND,ALAMEDA,52,0,0,5,0.096153846,0.109004736
0125567,URBAN MONTESSORI CHARTER,OAKLAND,ALAMEDA,0,0,0,0,0,0.392523378
0130401,ALAMEDA COUNTY JUVENILE HALL COURT,SAN LEANDRO,ALAMEDA,0,0,0,0,0,0.270000011
0130419,ALAMEDA COUNTY COMMUNITY,HAYWARD,ALAMEDA,0,0,0,0,0,0.773381293
6001788,COX ACADEMY,OAKLAND,ALAMEDA,115,25,0.217391304,1,0.008695652,0.985663056
6002000,LAZEAR CHARTER ACADEMY,OAKLAND,ALAMEDA,40,4,0.1,0,0,0.995012462
0111765,RUBY BRIDGES ELEMENTARY,ALAMEDA,ALAMEDA,91,0,0,0,0,0.701209009
0119222,NEA COMMUNITY LEARNING CENTER,ALAMEDA,ALAMEDA,48,1,0.020833333,2,0.041666667,0.30392158
0126656,MAYA LIN,ALAMEDA,ALAMEDA,73,0,0,7,0.095890411,0.467692316
6090005,DONALD D. LUM ELEMENTARY,ALAMEDA,ALAMEDA,100,1,0.01,3,0.03,0.332023561
6090013,EDISON ELEMENTARY,ALAMEDA,ALAMEDA,70,0,0,1,0.014285714,0.128099173
6090021,FRANK OTIS ELEMENTARY,ALAMEDA,ALAMEDA,95,5,0.052631579,1,0.010526316,0.184070796
6090039,FRANKLIN ELEMENTARY,ALAMEDA,ALAMEDA,50,0,0,1,0.02,0.192926049
6090047,HENRY HAIGHT ELEMENTARY,ALAMEDA,ALAMEDA,98,2,0.020408163,1,0.010204082,0.557077646
6090120,WILLIAM G. PADEN ELEMENTARY,ALAMEDA,ALAMEDA,73,2,0.02739726,0,0,0.477203637
6100374,AMELIA EARHART ELEMENTARY,ALAMEDA,ALAMEDA,128,1,0.0078125,2,0.015625,0.093851134
6110779,BAY FARM,ALAMEDA,ALAMEDA,70,0,0,1,0.014285714,0.069518715
6090146,CORNELL ELEMENTARY,ALBANY,ALAMEDA,84,17,0.202380952,13,0.154761905,0.127768308
6095376,MARIN ELEMENTARY,ALBANY,ALAMEDA,84,15,0.178571429,9,0.107142857,0.117100373
6116222,OCEAN VIEW ELEMENTARY,ALBANY,ALAMEDA,152,46,0.302631579,4,0.026315789,0.311145514
6090187,ROSA PARKS ENVIRONMENTAL SCIENCE MAGNET,BERKELEY,ALAMEDA,63,5,0.079365079,0,0,0.371369302
6090195,CRAGMONT ELEMENTARY,BERKELEY,ALAMEDA,80,7,0.0875,6,0.075,0.3800475
6090211,EMERSON ELEMENTARY,BERKELEY,ALAMEDA,61,12,0.196721311,0,0,0.417508423
6090252,JEFFERSON ELEMENTARY,BERKELEY,ALAMEDA,102,10,0.098039216,16,0.156862745,0.352071017
6090278,LECONTE ELEMENTARY,BERKELEY,ALAMEDA,0,0,0,0,0,0.549418628
6090286,MALCOLM X ELEMENTARY,BERKELEY,ALAMEDA,127,0,0,10,0.078740157,0.364326388
6090302,OXFORD ELEMENTARY,BERKELEY,ALAMEDA,40,7,0.175,0,0,0.405660391
6090310,THOUSAND OAKS ELEMENTARY,BERKELEY,ALAMEDA,63,5,0.079365079,0,0,0.434322029
6090328,WASHINGTON ELEMENTARY,BERKELEY,ALAMEDA,74,11,0.148648649,2,0.027027027,0.290870488
6097729,BERKELEY ARTS MAGNET AT WHITTIER,BERKELEY,ALAMEDA,0,0,0,0,0,0.418052256
6105316,JOHN MUIR ELEMENTARY,BERKELEY,ALAMEDA,58,7,0.120689655,1,0.017241379,0.549645364
6090351,CASTRO VALLEY ELEMENTARY,CASTRO VALLEY,ALAMEDA,119,19,0.159663866,0,0,0.365306109
6090369,CHABOT ELEMENTARY,CASTRO VALLEY,ALAMEDA,73,0,0,1,0.01369863,0.175946549
6090393,INDEPENDENT ELEMENTARY,CASTRO VALLEY,ALAMEDA,115,0,0,0,0,0.092651755
6090401,MARSHALL ELEMENTARY,CASTRO VALLEY,ALAMEDA,69,6,0.086956522,0,0,0.366594374
6090419,PALOMARES ELEMENTARY,CASTRO VALLEY,ALAMEDA,20,1,0.05,0,0,0.119205296
6090435,PROCTOR ELEMENTARY,CASTRO VALLEY,ALAMEDA,81,1,0.012345679,0,0,0.15384616
6090468,STANTON ELEMENTARY,CASTRO VALLEY,ALAMEDA,92,2,0.02173913,0,0,0.337078661
